"Location Properties"
"Location Name = Pressure Transducer"
"Location ID = 5679063059922944"
"Latitude = 37.24039316383645 °"
"Longitude = -80.4825972028528 °"
"Time shown in UTC"
""
""
"Date Time","Depth (m)","Pressure (cm H₂O)","Temperature (C)"
"2020-04-30 02:45:00.000","9.774936","989.2188966624719","11.33"
"2020-04-30 03:00:00.000","9.784080000000001","989.9219662407679","11.28"
"2020-04-30 03:15:00.000","9.790175999999999","990.6250358190639","11.19"
"2020-04-30 03:30:00.000","9.805416000000001","991.3281053973599","11.15"
"2020-04-30 03:45:00.000","9.814560000000002","992.7342445539518","11.12"
"2020-04-30 04:00:00.000","9.817608","992.7342445539518","11.09"
"2020-04-30 04:15:00.000","9.820656","992.7342445539518","11.05"
"2020-04-30 04:30:00.000","9.814560000000002","992.7342445539518","11.01"
"2020-04-30 04:45:00.000","9.817608","992.7342445539518","10.98"
"2020-04-30 05:00:00.000","9.820656","992.7342445539518","10.95"
"2020-04-30 05:15:00.000","9.823704","993.4373141322479","10.92"
"2020-04-30 05:30:00.000","9.814560000000002","992.7342445539518","10.9"
"2020-04-30 05:45:00.000","9.811512","992.7342445539518","10.88"
"2020-04-30 06:00:00.000","9.817608","992.7342445539518","10.87"
"2020-04-30 06:15:00.000","9.820656","992.7342445539518","10.85"
"2020-04-30 06:30:00.000","9.820656","993.4373141322479","10.84"
"2020-04-30 06:45:00.000","9.808464","992.0311749756559","10.83"
"2020-04-30 07:00:00.000","9.820656","992.7342445539518","10.83"
"2020-04-30 07:15:00.000","9.814560000000002","992.7342445539518","10.82"
"2020-04-30 07:30:00.000","9.814560000000002","992.0311749756559","10.82"
"2020-04-30 07:45:00.000","9.811512","992.0311749756559","10.81"
"2020-04-30 08:00:00.000","9.814560000000002","992.0311749756559","10.8"
"2020-04-30 08:15:00.000","9.808464","992.0311749756559","10.81"
"2020-04-30 08:30:00.000","9.811512","992.0311749756559","10.81"
"2020-04-30 08:45:00.000","9.817608","992.7342445539518","10.81"
"2020-04-30 09:00:00.000","9.814560000000002","992.0311749756559","10.82"
"2020-04-30 09:15:00.000","9.808464","992.0311749756559","10.83"
"2020-04-30 09:30:00.000","9.805416000000001","991.3281053973599","10.84"
"2020-04-30 09:45:00.000","9.811512","992.0311749756559","10.86"
"2020-04-30 10:00:00.000","9.805416000000001","992.0311749756559","10.88"
"2020-04-30 10:15:00.000","9.811512","992.0311749756559","10.89"
"2020-04-30 10:30:00.000","9.808464","992.0311749756559","10.92"
"2020-04-30 10:45:00.000","9.811512","992.0311749756559","10.94"
"2020-04-30 11:00:00.000","9.802368","992.0311749756559","10.96"
"2020-04-30 11:15:00.000","9.808464","992.0311749756559","10.98"
"2020-04-30 11:30:00.000","9.808464","992.0311749756559","11.0"
"2020-04-30 11:45:00.000","9.805416000000001","992.0311749756559","11.02"
"2020-04-30 12:00:00.000","9.802368","991.3281053973599","11.04"
"2020-04-30 12:15:00.000","9.796272","991.3281053973599","11.06"
"2020-04-30 12:30:00.000","9.793224000000002","990.6250358190639","11.1"
"2020-04-30 12:45:00.000","9.796272","991.3281053973599","11.15"
"2020-04-30 13:00:00.000","9.796272","990.6250358190639","11.19"
"2020-04-30 13:15:00.000","9.790175999999999","990.6250358190639","11.22"
"2020-04-30 13:30:00.000","9.790175999999999","989.9219662407679","11.24"
"2020-04-30 13:45:00.000","9.790175999999999","989.9219662407679","11.26"
"2020-04-30 14:00:00.000","9.787128000000001","989.9219662407679","11.26"
